Sample Index,Cruise ID,Station ID,Niskin ID,Sample ID,Oxygen [mL/L]
1,AR61A,5,1,T1,4.223
2,AR61A,5,2,T2,4.241
3,AR61A,5,3,T3,3.294
4,AR61A,5,4,T4,3.276
5,AR61A,5,5,T5,3.737
6,AR61A,5,6,T6,3.771
7,AR61A,5,9,T7,5.094
8,AR61A,5,10,T8,5.013
9,AR61A,13,1,B1,4.259
10,AR61A,13,2,B2,4.257
11,AR61A,13,3,B3,5.099
12,AR61A,13,4,B4,5.095
13,AR61A,13,5,B5,5.591
14,AR61A,13,6,B6,5.606
15,AR61A,13,7,B7,5.646
16,AR61A,13,8,B8,5.645
17,AR61A,14,1,T1,3.831
18,AR61A,14,2,T2,3.802
19,AR61A,14,4,T3,4.681
20,AR61A,14,5,T4,4.679
21,AR61A,14,6,T5,5.098
22,AR61A,14,7,T6,5.1
23,AR61A,14,8,T7,5.148
24,AR61A,14,9,T8,5.137
25,AR61A,15,1,B1,3.887
26,AR61A,15,2,B2,3.157
27,AR61A,15,3,B3,4.012
28,AR61A,15,4,B4,4.275
29,AR61A,15,5,B5,5.048
30,AR61A,16,1,B6,3.724
31,AR61A,16,2,B7,3.741
32,AR61A,16,3,B8,4.99
33,AR61A,16,4,B9,5.906
34,AR61A,17,1,B1,3.627
35,AR61A,17,2,B2,3.861
36,AR61A,17,3,B3,3.743
37,AR61A,17,4,B4,4.966
38,AR61A,17,5,B5,4.918
39,AR61A,18,1,B6,3.936
40,AR61A,18,2,B7,4.938
41,AR61A,18,3,B8,5.961
42,AR61A,18,4,B9,5.965
