Cruise ID,Station ID,Niskin ID,Sample ID,Salinity [psu],
AR61A,5,1,A1,35.1209,
AR61A,5,2,A2,35.1224,
AR61A,5,3,A3,35.6907,
AR61A,5,4,A4,35.6899,
AR61A,5,5,A5,35.8435,
AR61A,5,6,A6,35.8433,
AR61A,5,9,A7,35.3971,
AR61A,5,10,A8,35.3995,
AR61A,13,1,A9,34.3172,
AR61A,13,2,A10,34.3221,
AR61A,13,3,A11,33.1452,
AR61A,13,4,A12,33.1436,
AR61A,13,5,A13,32.8344,
AR61A,13,6,A14,32.8332,
AR61A,13,7,A15,32.8346,
AR61A,13,8,A16,32.8331,
AR61A,14,1,B1,35.8945,
AR61A,14,2,B2,35.8945,
AR61A,14,4,B3,35.7130,
AR61A,14,5,B4,35.6794,
AR61A,14,6,B5,35.2926,
AR61A,14,7,B6,35.2959,
AR61A,14,8,B7,35.2355,
AR61A,14,9,B8,35.2377,
AR61A,15,1,A1,35.1459,
AR61A,15,2,A2,35.3293,
AR61A,15,3,A3,35.9378,
AR61A,15,4,A4,35.3384,
AR61A,15,5,A5,35.6015,
AR61A,16,1,A6,35.8781,
AR61A,16,2,A7,35.7741,
AR61A,16,3,A8,35.3561,
AR61A,16,4,A9,35.6373,
AR61A,17,1,A10,35.1742,
AR61A,17,2,A11,35.8550,
AR61A,17,3,A12,36.6080,
AR61A,17,4,A13,36.2804,
AR61A,17,5,A14,36.1070,
AR61A,18,1,A15,34.8456,
AR61A,18,2,A16,33.8837,
AR61A,18,3,A17,33.0280,
AR61A,18,4,A18,33.0317,
